gw-12502	537.726	-593.592
gw-12503	500.515	-524.155
gw-12504	497.587	-518.455
leaf-12509	645.737	-559.886
leaf-12511	666.813	-584.997
leaf-12528	530.417	-562.444
leaf-12618	669.119	-574.215
leaf-12623	619.706	-593.962
leaf-12673	607.428	-598.099
leaf-12872	609.183	-578.401
leaf-12508	592.529	-609.086
leaf-12480	633.866	-652.05
gw-12500	561.179	-578.077
leaf-12481	620.704	-569.62
leaf-12478	660.888	-562.33
gw-12487	648.96	-642.179
leaf-12492	657.834	-592.698
leaf-12482	561.3	-664.655
leaf-12510	617.337	-658.708
leaf-12479	637.517	-583.693
leaf-12483	632.362	-562.848
leaf-12485	682.536	-564.869
leaf-12486	602.182	-662.655
leaf-12488	631.612	-599.593
leaf-12484	646.118	-595.729
gw-12505	527.024	-584.97
leaf-12490	652.922	-574.19
leaf-12489	573.098	-666.475
leaf-12495	557.161	-674.549
gw-12506	521.827	-589.619
leaf-12491	586.837	-667.486
leaf-12497	591.93	-653.139
leaf-12498	608.99	-646.441
leaf-12493	574.809	-659.231
leaf-12494	625.111	-639.388
leaf-12507	512.117	-569.616
gw-12910	597.226	-697.466
bb-12945	565.681	-504.123
leaf-12513	352.302	-805.601
leaf-12496	595.468	-593.728
bb-12659	458.656	-575.788
gw-12660	450.341	-566.113
bb-12661	444.374	-571.57
bb-12662	465.955	-538.314
gw-12663	421.275	-558.304
gw-12664	432.935	-577.365
leaf-12515	340.922	-800.927
bb-13075	256.098	-346.265
gw-13000	256.589	-467.916
bb-13005	287.112	-458.703
leaf-12690	144.466	-684.508
gw-12691	228.808	-640.656
gw-12692	180.106	-621.228
gw-12668	386.77	-645.1
gw-12669	394.102	-644.442
bb-12670	417.753	-626.801
gw-12728	467.855	-637.433
bb-12667	378.474	-605.429
bb-12519	506.867	-455.953
gw-12665	367.047	-632.293
bb-12666	341.344	-622.542
leaf-12724	458.601	-648.799
gw-12961	383.693	-508.244
leaf-12950	375.835	-807.035
gw-12727	434.703	-732.739
leaf-12512	363.898	-807.154
bb-12530	686.809	-515.179
bb-12531	323.034	-106.142
leaf-12516	388.723	-805.698
bb-12736	367.22	-544.547
bb-12695	291.651	-610.573
gw-12694	250.441	-592.016
bb-12735	388.174	-529.385
bb-13040	469.133	-432.553
leaf-12876	464.785	-713.1
leaf-12877	485.818	-722.002
leaf-12523	375.009	-321.461
gw-13045	414.764	-403.182
gw-13046	430.235	-390.551
gw-13047	424.239	-403.655
leaf-12522	512.556	-560.597
gw-12524	490.549	-483.935
gw-12525	448.406	-494.193
leaf-12520	571.879	-578.235
bb-13038	462.465	-407.466
bb-13039	460.417	-409.84
gw-13041	419.038	-425.499
gw-13042	409.708	-427.104
bb-12533	298.411	-108.731
bb-13048	333.016	-386.885
bb-13059	396.456	-362.865
bb-13051	339.172	-349.129
gw-13043	401.145	-412.063
leaf-12595	205.982	-231.1
gw-13077	261.934	-310.351
gw-13076	260.969	-283.142
bb-12527	493.382	-351.474
leaf-12529	198.503	-180.866
gw-12679	285.14	-237.592
bb-12844	500.02	-284.766
leaf-12935	246.079	-132.321
leaf-12697	204.959	-172.071
gw-12550	328.876	-166.093
leaf-12552	344.256	-88.653
bb-12704	294.881	-130.524
bb-12786	382.501	-82.3898
bb-12936	341.99	-99.6137
bb-12937	409.552	-83.3352
leaf-13092	270.808	-123.038
bb-12532	308.051	-111.254
gw-12548	483.998	-190.181
gw-12549	478.56	-190.272
bb-12553	313.25	-227.157
bb-12596	375.847	-303.079
bb-12534	417.841	-86.1787
bb-12539	392.238	-81.736
bb-12536	313.001	-100.678
leaf-12538	364.594	-83.1535
bb-12541	400.65	-84.9572
